ULAND;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstig;STRZUSTAND;XGCSWGS84;YGCSWGS84
2;2018;4;17;6;3;0;1;0;0;0;0;1;0;0;0;9.916455577;53.589639666
2;2018;1;11;2;3;5;3;0;0;1;0;0;0;0;1;9.888512174;53.567939876
2;2018;5;17;5;3;0;6;0;0;1;0;1;0;0;0;10.082299047;53.504418654
2;2018;3;18;6;3;2;6;2;0;1;0;0;0;1;0;9.920444111;53.563976133
2;2018;5;7;7;2;9;1;0;0;1;0;0;0;0;0;9.987314547;53.647038814
2;2018;4;11;2;3;2;6;0;0;1;0;0;0;0;0;9.950578897;53.562067349
2;2018;1;18;5;3;2;2;2;0;1;0;0;0;0;1;9.97831497;53.464753104
2;2018;2;16;5;3;6;4;0;1;0;1;0;0;0;1;9.958395468;53.57312686
2;2018;5;18;5;3;4;2;0;0;1;0;0;0;0;0;9.83990241;53.472274668
2;2018;3;10;4;3;0;2;0;1;0;0;1;0;0;1;9.96660154;53.594078854
2;2018;2;13;3;3;1;5;0;1;1;0;0;0;0;0;9.961245542;53.559520602
2;2018;4;8;3;3;2;6;0;0;1;0;0;0;0;0;10.010083701;53.620485417
2;2018;3;7;2;3;2;6;0;0;1;0;0;0;0;0;10.184633794;53.472885572
2;2018;4;22;3;3;3;6;2;0;1;0;0;0;0;0;9.971022049;53.550274582
2;2018;1;9;4;3;2;2;0;0;1;0;0;0;0;1;9.936129229;53.438248126
2;2018;2;17;4;3;2;6;0;0;1;0;0;0;0;1;9.986054206;53.547809491
2;2018;5;5;3;3;3;2;0;1;1;0;0;0;0;0;9.968494506;53.58635072
2;2018;4;7;6;3;1;6;0;0;1;0;0;0;0;0;9.983939616;53.593228362
2;2018;1;18;3;3;5;3;2;0;1;0;0;0;0;1;9.877551054;53.569839194
2;2018;4;6;4;3;4;2;0;0;1;0;1;0;0;0;9.96953097;53.583991253
2;2018;1;10;5;3;1;1;0;0;1;0;0;0;0;0;9.972418073;53.466608588
2;2018;3;7;5;3;8;7;0;0;1;0;0;0;0;0;10.01742218;53.545181576
2;2018;5;8;4;2;2;6;0;0;1;0;0;0;0;0;10.157223721;53.478499342
2;2018;4;8;7;3;5;3;0;0;1;0;0;0;0;0;9.987663334;53.603413075
2;2018;1;8;4;3;6;4;2;0;1;1;0;0;0;1;9.870081612;53.571178842
2;2018;2;15;4;3;5;3;0;1;1;0;0;0;0;0;9.952915766;53.613070366
2;2018;5;13;4;3;1;6;0;0;1;0;0;1;0;0;9.754291102;53.583325289
2;2018;3;14;3;3;2;6;0;0;1;0;0;1;0;0;9.918458578;53.591367377
2;2018;2;19;6;3;2;6;2;0;1;0;0;0;0;1;10.049707829;53.552043725
2;2018;3;10;5;3;0;1;0;0;0;0;1;0;0;0;9.928617947;53.592445371
2;2018;3;8;6;2;6;5;0;0;0;1;0;0;1;0;10.167118464;53.514403734
2;2018;4;15;2;3;2;6;0;0;1;0;0;0;0;1;9.954068992;53.570932263
2;2018;1;8;4;3;2;2;1;0;1;0;0;0;0;1;9.984302127;53.601008783
